Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_
Russell 2000®,12/31/2024,5542.504751,12060.069983
Russell 2000®,12/30/2024,5536.591463,12041.248001
Russell 2000®,12/27/2024,5578.375105,12131.157003
Russell 2000®,12/26/2024,5666.853196,12323.276125
Russell 2000®,12/25/2024,5616.307052,12212.975615
Russell 2000®,12/24/2024,5616.307052,12212.975615
Russell 2000®,12/23/2024,5560.592910,12091.590310
Russell 2000®,12/20/2024,5572.855196,12117.997833
Russell 2000®,12/19/2024,5520.982710,12004.671568
Russell 2000®,12/18/2024,5545.872065,12058.615586
Russell 2000®,12/17/2024,5800.778729,12612.627072
Russell 2000®,12/16/2024,5870.143597,12763.142909
Russell 2000®,12/13/2024,5832.625998,12680.081643
Russell 2000®,12/12/2024,5867.879671,12754.006748
Russell 2000®,12/11/2024,5950.088541,12932.519869
Russell 2000®,12/10/2024,5921.794763,12870.595557
Russell 2000®,12/09/2024,5946.801326,12924.462177
Russell 2000®,12/06/2024,5986.958566,13011.306624
Russell 2000®,12/05/2024,5955.084100,12940.751445
Russell 2000®,12/04/2024,6030.622902,13103.672404
Russell 2000®,12/03/2024,6005.235123,13048.423896
Russell 2000®,12/02/2024,6049.447718,13144.112413
Russell 2000®,11/29/2024,6050.906508,13145.718474
Russell 2000®,11/28/2024,6029.697407,13097.594999
Russell 2000®,11/27/2024,6029.697407,13097.594999
Russell 2000®,11/26/2024,6025.017511,13087.041009
Russell 2000®,11/25/2024,6069.062685,13182.403216
Russell 2000®,11/22/2024,5981.181605,12990.930073
Russell 2000®,11/21/2024,5875.179350,12759.773287
Russell 2000®,11/20/2024,5779.536667,12551.819842
Russell 2000®,11/19/2024,5777.780075,12547.835052
Russell 2000®,11/18/2024,5731.836679,12447.675363
Russell 2000®,11/15/2024,5725.610653,12432.928102
Russell 2000®,11/14/2024,5807.881700,12608.672289
Russell 2000®,11/13/2024,5888.489949,12783.098166
Russell 2000®,11/12/2024,5944.344837,12903.732006
Russell 2000®,11/11/2024,6051.536043,13135.726359
Russell 2000®,11/08/2024,5963.707358,12945.081609
Russell 2000®,11/07/2024,5921.583844,12852.182480
Russell 2000®,11/06/2024,5947.015636,12906.906860
Russell 2000®,11/05/2024,5618.767594,12194.184547
Russell 2000®,11/04/2024,5514.856946,11968.136536
Russell 2000®,11/01/2024,5492.737460,11919.149632
Russell 2000®,10/31/2024,5459.234617,11846.255520
