Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_
Russell Top 50® Mega Cap,07/16/2025,5300.300254,8520.321057
Russell Top 50® Mega Cap,07/15/2025,5284.573715,8495.040382
Russell Top 50® Mega Cap,07/14/2025,5280.507030,8487.456857
Russell Top 50® Mega Cap,07/11/2025,5274.213795,8477.341623
Russell Top 50® Mega Cap,07/10/2025,5281.034950,8488.305394
Russell Top 50® Mega Cap,07/09/2025,5274.174878,8475.456380
Russell Top 50® Mega Cap,07/08/2025,5230.618109,8405.298370
Russell Top 50® Mega Cap,07/07/2025,5243.851808,8426.564152
Russell Top 50® Mega Cap,07/04/2025,5286.776004,8495.439093
Russell Top 50® Mega Cap,07/03/2025,5286.776004,8495.439093
Russell Top 50® Mega Cap,07/02/2025,5235.531194,8411.516862
Russell Top 50® Mega Cap,07/01/2025,5200.649206,8355.474711
Russell Top 50® Mega Cap,06/30/2025,5235.637381,8411.687465
Russell Top 50® Mega Cap,06/27/2025,5207.807039,8366.974640
Russell Top 50® Mega Cap,06/26/2025,5176.279445,8316.266481
Russell Top 50® Mega Cap,06/25/2025,5135.139908,8250.171257
Russell Top 50® Mega Cap,06/24/2025,5111.460647,8212.127900
Russell Top 50® Mega Cap,06/23/2025,5051.209539,8115.086363
Russell Top 50® Mega Cap,06/20/2025,4999.224197,8031.568636
Russell Top 50® Mega Cap,06/19/2025,5023.476325,8069.797477
Russell Top 50® Mega Cap,06/18/2025,5023.476325,8069.797477
Russell Top 50® Mega Cap,06/17/2025,5026.520875,8074.584788
Russell Top 50® Mega Cap,06/16/2025,5068.861605,8142.600782
Russell Top 50® Mega Cap,06/13/2025,5015.734244,8055.863098
Russell Top 50® Mega Cap,06/12/2025,5073.999768,8148.860949
Russell Top 50® Mega Cap,06/11/2025,5052.181271,8113.820369
Russell Top 50® Mega Cap,06/10/2025,5071.836765,8145.323959
Russell Top 50® Mega Cap,06/09/2025,5036.866753,8089.162436
Russell Top 50® Mega Cap,06/06/2025,5022.233732,8065.057534
Russell Top 50® Mega Cap,06/05/2025,4965.940482,7973.677334
Russell Top 50® Mega Cap,06/04/2025,5005.285997,8035.965581
Russell Top 50® Mega Cap,06/03/2025,4992.817312,8015.753832
Russell Top 50® Mega Cap,06/02/2025,4965.242884,7971.484273
Russell Top 50® Mega Cap,05/30/2025,4937.333558,7926.336019
Russell Top 50® Mega Cap,05/29/2025,4944.927031,7938.414865
Russell Top 50® Mega Cap,05/28/2025,4919.345195,7897.346670
Russell Top 50® Mega Cap,05/27/2025,4938.769138,7928.529196
Russell Top 50® Mega Cap,05/26/2025,4825.753683,7746.274184
Russell Top 50® Mega Cap,05/23/2025,4825.753683,7746.274184
Russell Top 50® Mega Cap,05/22/2025,4872.024512,7820.547872
Russell Top 50® Mega Cap,05/21/2025,4865.081790,7809.302951
Russell Top 50® Mega Cap,05/20/2025,4930.057770,7913.600707
Russell Top 50® Mega Cap,05/19/2025,4953.167851,7950.696409
Russell Top 50® Mega Cap,05/16/2025,4949.290153,7943.720118
Russell Top 50® Mega Cap,05/15/2025,4922.795869,7900.875094
Russell Top 50® Mega Cap,05/14/2025,4924.035853,7900.035738
Russell Top 50® Mega Cap,05/13/2025,4896.651070,7856.100077
Russell Top 50® Mega Cap,05/12/2025,4848.583393,7778.710310
Russell Top 50® Mega Cap,05/09/2025,4668.208223,7488.338582
Russell Top 50® Mega Cap,05/08/2025,4670.889929,7491.597998
Russell Top 50® Mega Cap,05/07/2025,4644.386531,7449.089438
Russell Top 50® Mega Cap,05/06/2025,4628.164129,7423.070475
Russell Top 50® Mega Cap,05/05/2025,4662.918937,7478.813397
Russell Top 50® Mega Cap,05/02/2025,4704.265146,7545.128206
Russell Top 50® Mega Cap,05/01/2025,4642.487865,7445.891382
Russell Top 50® Mega Cap,04/30/2025,4591.239359,7363.696055
Russell Top 50® Mega Cap,04/29/2025,4590.835930,7362.716500
Russell Top 50® Mega Cap,04/28/2025,4568.647075,7327.130335
Russell Top 50® Mega Cap,04/25/2025,4574.603650,7336.683403
Russell Top 50® Mega Cap,04/24/2025,4516.038391,7242.757284
Russell Top 50® Mega Cap,04/23/2025,4418.617012,7086.514281
Russell Top 50® Mega Cap,04/22/2025,4330.400589,6945.034053
Russell Top 50® Mega Cap,04/21/2025,4219.373725,6766.970769
Russell Top 50® Mega Cap,04/18/2025,4327.975490,6940.270141
Russell Top 50® Mega Cap,04/17/2025,4327.975490,6940.270141
Russell Top 50® Mega Cap,04/16/2025,4336.823125,6954.458062
Russell Top 50® Mega Cap,04/15/2025,4464.240182,7158.781953
Russell Top 50® Mega Cap,04/14/2025,4473.722504,7172.930983
Russell Top 50® Mega Cap,04/11/2025,4452.587420,7139.044103
Russell Top 50® Mega Cap,04/10/2025,4362.839274,6995.146654
Russell Top 50® Mega Cap,04/09/2025,4534.034761,7268.167113
Russell Top 50® Mega Cap,04/08/2025,4095.043470,6564.303187
Russell Top 50® Mega Cap,04/07/2025,4162.524823,6672.474946
Russell Top 50® Mega Cap,04/04/2025,4162.014998,6671.657703
Russell Top 50® Mega Cap,04/03/2025,4421.685031,7086.654107
Russell Top 50® Mega Cap,04/02/2025,4663.453025,7473.673416
Russell Top 50® Mega Cap,04/01/2025,4636.788258,7430.940327
Russell Top 50® Mega Cap,03/31/2025,4613.076112,7392.939121
Russell Top 50® Mega Cap,03/28/2025,4594.778711,7363.615614
Russell Top 50® Mega Cap,03/27/2025,4704.715880,7539.744703
Russell Top 50® Mega Cap,03/26/2025,4720.277406,7564.683496
Russell Top 50® Mega Cap,03/25/2025,4798.937046,7690.742884
Russell Top 50® Mega Cap,03/24/2025,4781.468086,7662.747252
Russell Top 50® Mega Cap,03/21/2025,4690.421990,7516.837415
Russell Top 50® Mega Cap,03/20/2025,4667.471933,7479.784224
Russell Top 50® Mega Cap,03/19/2025,4676.852801,7494.092823
Russell Top 50® Mega Cap,03/18/2025,4617.104143,7398.352801
Russell Top 50® Mega Cap,03/17/2025,4683.095815,7504.096500
Russell Top 50® Mega Cap,03/14/2025,4676.388663,7492.796335
Russell Top 50® Mega Cap,03/13/2025,4573.396011,7326.906978
Russell Top 50® Mega Cap,03/12/2025,4652.968808,7453.565298
Russell Top 50® Mega Cap,03/11/2025,4610.332728,7385.204314
Russell Top 50® Mega Cap,03/10/2025,4635.538573,7425.581079
Russell Top 50® Mega Cap,03/07/2025,4798.559020,7685.475268
Russell Top 50® Mega Cap,03/06/2025,4777.772179,7651.218652
Russell Top 50® Mega Cap,03/05/2025,4876.190492,7808.566738
Russell Top 50® Mega Cap,03/04/2025,4815.659907,7711.635103
Russell Top 50® Mega Cap,03/03/2025,4855.991375,7776.220554
Russell Top 50® Mega Cap,02/28/2025,4969.991342,7958.424671
Russell Top 50® Mega Cap,02/27/2025,4882.116551,7817.599704
Russell Top 50® Mega Cap,02/26/2025,4988.430499,7987.837320
Russell Top 50® Mega Cap,02/25/2025,4984.031467,7980.793271
Russell Top 50® Mega Cap,02/24/2025,5025.403772,8047.041611
