Index_Name,Date,Value_Without_Dividends__USD_,Value_With_Dividends__USD_
Russell Top 50® Mega Cap,12/31/2024,5002.576614,7998.607667
Russell Top 50® Mega Cap,12/30/2024,5040.008919,8058.458090
Russell Top 50® Mega Cap,12/27/2024,5096.541656,8148.848147
Russell Top 50® Mega Cap,12/26/2024,5165.388184,8258.797047
Russell Top 50® Mega Cap,12/25/2024,5170.854338,8267.536730
Russell Top 50® Mega Cap,12/24/2024,5170.854338,8267.536730
Russell Top 50® Mega Cap,12/23/2024,5105.350182,8162.803937
Russell Top 50® Mega Cap,12/20/2024,5053.491801,8079.174862
Russell Top 50® Mega Cap,12/19/2024,5008.046717,8006.520389
Russell Top 50® Mega Cap,12/18/2024,5001.165486,7995.519150
Russell Top 50® Mega Cap,12/17/2024,5154.983765,8241.329613
Russell Top 50® Mega Cap,12/16/2024,5163.109051,8254.319597
Russell Top 50® Mega Cap,12/13/2024,5119.495923,8183.513900
Russell Top 50® Mega Cap,12/12/2024,5107.660200,8164.313897
Russell Top 50® Mega Cap,12/11/2024,5142.448997,8219.921877
Russell Top 50® Mega Cap,12/10/2024,5074.894703,8111.940054
Russell Top 50® Mega Cap,12/09/2024,5079.155479,8118.750670
Russell Top 50® Mega Cap,12/06/2024,5106.302342,8161.041169
Russell Top 50® Mega Cap,12/05/2024,5079.582149,8117.369445
Russell Top 50® Mega Cap,12/04/2024,5078.212799,8114.864273
Russell Top 50® Mega Cap,12/03/2024,5029.020475,8036.256099
Russell Top 50® Mega Cap,12/02/2024,5010.797860,8006.958530
Russell Top 50® Mega Cap,11/29/2024,4973.907185,7947.670288
Russell Top 50® Mega Cap,11/28/2024,4937.975515,7889.755367
Russell Top 50® Mega Cap,11/27/2024,4937.975515,7889.755367
Russell Top 50® Mega Cap,11/26/2024,4964.304170,7931.106943
Russell Top 50® Mega Cap,11/25/2024,4917.110817,7854.916083
Russell Top 50® Mega Cap,11/22/2024,4913.027368,7848.392913
Russell Top 50® Mega Cap,11/21/2024,4910.869611,7844.945970
Russell Top 50® Mega Cap,11/20/2024,4910.844966,7843.164717
Russell Top 50® Mega Cap,11/19/2024,4916.674396,7852.474965
Russell Top 50® Mega Cap,11/18/2024,4876.663943,7788.573828
Russell Top 50® Mega Cap,11/15/2024,4857.859578,7757.792196
Russell Top 50® Mega Cap,11/14/2024,4945.954138,7898.191728
Russell Top 50® Mega Cap,11/13/2024,4968.773685,7933.437457
Russell Top 50® Mega Cap,11/12/2024,4969.555154,7934.685196
Russell Top 50® Mega Cap,11/11/2024,4967.606613,7930.915445
Russell Top 50® Mega Cap,11/08/2024,4978.302186,7947.991210
Russell Top 50® Mega Cap,11/07/2024,4968.040523,7930.263307
Russell Top 50® Mega Cap,11/06/2024,4909.743934,7837.207041
Russell Top 50® Mega Cap,11/05/2024,4779.065853,7628.611401
